Material|Old Material|Vendor ID|Vendor Name|List Price|Quantity|PDT/LT|SKU Category|Selling UOM|Material Description|DChain Spec Status|Material Group 2 Description|Material Group 5 Description|Sales Text (F)
342825-0116|NLG342825-0116|IVG2960|Thermo Fisher Scientific Pte Ltd.|401.00|0.00|144||CS|CLOS,MPV,BLUE CODER, STER,AMB PPCO;11 MM||Core LPE|RSD Prefix - NLG|
342830-0111|NLG342830-0111|IVG2960|Thermo Fisher Scientific Pte Ltd.|429.00|0.00|144|CORE|CS|White Color Coder Closure, Packaging Via||Core LPE|RSD Prefix - NLG|
342830-0112|NLG342830-0112|IVG2960|Thermo Fisher Scientific Pte Ltd.|429.00|0.00|144|CORE|CS|Yellow Color Coder Closure, Packaging Vi||Core LPE|RSD Prefix - NLG|
342830-0113|NLG342830-0113|IVG2960|Thermo Fisher Scientific Pte Ltd.|429.00|0.00|144|CORE|CS|Orange Color Coder Closure, Packaging Vi||Core LPE|RSD Prefix - NLG|
342830-0114|NLG342830-0114|||435.00|0.00|144||CS|Green Color Coder Closure, Packaging Via||Core LPE|RSD Prefix - NLG|
342830-0115|NLG342830-0115|IVG2960|Thermo Fisher Scientific Pte Ltd.|435.00|0.00|144||CS|Red Color Coder Closure, Packaging Vial,||Core LPE|RSD Prefix - NLG|
342830-0116|NLG342830-0116|IVG2960|Thermo Fisher Scientific Pte Ltd.|429.00|0.00|144|CORE|CS|Blue Color Coder Closure, Packaging Vial||Core LPE|RSD Prefix - NLG|
342830-0118|NLG342830-0118|IVG2960|Thermo Fisher Scientific Pte Ltd.|429.00|0.00|144||CS|Closure Pkg Vial E-BEAM 11mm Purple||Core LPE|RSD Prefix - NLG|
342830-0119|NLG342830-0119|IVG2960|Thermo Fisher Scientific Pte Ltd.|429.00|0.00|144|CORE|CS|Natural Color Coder Closure, Packaging V||Core LPE|RSD Prefix - NLG|
342830-5114|NLG342830-5114|IVG2960|Thermo Fisher Scientific Pte Ltd.|429.00|0.00|144|CORE|CS|Lt. Green Color Coder Closure, Packaging||Core LPE|RSD Prefix - NLG|
342830-5116|NLG342830-5116|IVG2960|Thermo Fisher Scientific Pte Ltd.|435.00|0.00|144||CS|Lt. Blue Color Coder Closure, Packaging||Core LPE|RSD Prefix - NLG|
342830-5118|NLG342830-5118|IVG2960|Thermo Fisher Scientific Pte Ltd.|435.00|0.00|144||CS|Lt. Purple Color Coder Closure, Packagin||Core LPE|RSD Prefix - NLG|
3429942|THR3429942|IVG2960|Thermo Fisher Scientific Pte Ltd.|1990.00|0.00|98|CORE|EA|N2 gas regulator||RSD-BSC CO2|RSD Prefix - THR|
3429943|THR3429943|IVG2960|Thermo Fisher Scientific Pte Ltd.|1990.00|0.00|98|CORE|EA|O2 gas regulator||RSD-BSC CO2|RSD Prefix - THR|
3431ANK|MBP3431ANK|IVG2960|Thermo Fisher Scientific Pte Ltd.|1657.00|0.00|119||CS|.5ScrwCpTube,NoKnrl,NoSkrt,Ambr,ST,wcap||RSD-Liquid Handing|RSD Prefix - MBP|
3434|MBP3434|IVG2960|Thermo Fisher Scientific Pte Ltd.|36.00|0.00|119||PK|HLT 3434 TUBE 2.0 ML MCT||RSD-Liquid Handing|RSD Prefix - MBP|
343958|NNC343958|IVG2960|Thermo Fisher Scientific Pte Ltd.|138.00|0.00|99|CORE|PK|CRYOFLEX TUBING||Core LPE|RSD Prefix - NNC|
34406G01 S|TSX34406G01 S|IVG2960|Thermo Fisher Scientific Pte Ltd.|0.00|0.00|112||EA|DRAWER SLIDE ASY, L.H. SER||RSD-Cold Storage|RSD Prefix - TSX|
34406G02 S|TSX34406G02 S|IVG2960|Thermo Fisher Scientific Pte Ltd.|0.00|0.00|112||EA|DRAWER SLIDE ASY, R.H. SERVICE||RSD-Cold Storage|RSD Prefix - TSX|
3446|MBP3446-PK|IVG2960|Thermo Fisher Scientific Pte Ltd.|68.00|0.00|119|CORE|EA|HLT 3446 0.6 MCT GRADUATED||RSD-Liquid Handing|RSD Prefix - MBP|
3449|MBP3449|IVG2960|Thermo Fisher Scientific Pte Ltd.|78.00|0.00|119|CORE|EA|HLT 3449 0.6 MCT GRADUATED||RSD-Liquid Handing|RSD Prefix - MBP|
3453|MBP3453|IVG2960|Thermo Fisher Scientific Pte Ltd.|41.00|2250000.00|119|CORE|PK|HLT 3453 TUBE 2.0ML MCT||RSD-Liquid Handing|RSD Prefix - MBP|
3457|MBP3457|IVG2960|Thermo Fisher Scientific Pte Ltd.|38.00|0.00|119|CORE|PK|HLT 3457 TUBE LK 1.5ML MCT||RSD-Liquid Handing|RSD Prefix - MBP|
3461A|MBP3461A|IVG2960|Thermo Fisher Scientific Pte Ltd.|126.00|0.00|119|CORE|EA|1.5ml Conical MC Tube with S Cap & O-RIN||RSD-Liquid Handing|RSD Prefix - MBP|
3464|MBP3464|IVG2960|Thermo Fisher Scientific Pte Ltd.|947.00|0.00|119|CORE|CS|HLT 1.5 CONICAL MC TUBE with Screw Cap||RSD-Liquid Handing|RSD Prefix - MBP|
3465|MBP3465|IVG2960|Thermo Fisher Scientific Pte Ltd.|141.00|750000.00|119|CORE|PK|HLT .5ML FREE STANDING MC TUBE||RSD-Liquid Handing|RSD Prefix - MBP|
3467-11|MBP3467-11|IVG2960|Thermo Fisher Scientific Pte Ltd.|152.00|4500000.00|119|CORE|BAG|1.5mlScrwCapTube,Knrl,Skrt,Nat,ST,w/cap||RSD-Liquid Handing|RSD Prefix - MBP|
3468|MBP3468|IVG2960|Thermo Fisher Scientific Pte Ltd.|97.00|8.00|119|CORE|PK|2.0ml Conical MCT with Screw Cap||RSD-Liquid Handing|RSD Prefix - MBP|
3469ANK|MBP3469ANK|IVG2960|Thermo Fisher Scientific Pte Ltd.|156.00|2000000.00|119|CORE|BAG|2mlScrwCapTube,NoKnrl,Skrt,Ambr,ST,w/cap||RSD-Liquid Handing|RSD Prefix - MBP|
3469NK|MBP3469NK|IVG2960|Thermo Fisher Scientific Pte Ltd.|156.00|0.00|119|CORE|BAG|2mlScrwCapTube,NoKnrl,Skrt,Nat,ST,w/cap||RSD-Liquid Handing|RSD Prefix - MBP|
3471B|MBP3471B-PK|IVG2960|Thermo Fisher Scientific Pte Ltd.|68.00|5.00|119|CORE|EA|HLT THREADED SCW CAP W/ O-RNG||RSD-Liquid Handing|RSD Prefix - MBP|
3471G|MBP3471G-PK|IVG2960|Thermo Fisher Scientific Pte Ltd.|68.00|22.00|119|CORE|EA|HLT THREADED SCW CAP W/ O-RNG||RSD-Liquid Handing|RSD Prefix - MBP|
3471MIX|MBP3471MIX|IVG2960|Thermo Fisher Scientific Pte Ltd.|85.00|0.00|119|CORE|PK|ScrewCap w O-ring,Mix,NS cap only||RSD-Liquid Handing|RSD Prefix - MBP|
3471R|MBP3471R|IVG2960|Thermo Fisher Scientific Pte Ltd.|68.00|12.00|119|CORE|EA|HLT THREADED SCW CAP W/O-RNG red||RSD-Liquid Handing|RSD Prefix - MBP|
3471S|MBP3471S|IVG2960|Thermo Fisher Scientific Pte Ltd.|71.00|24000000.00|119|CORE|BAG|ScrewCap w O-ring,Nat,STcap only||RSD-Liquid Handing|RSD Prefix - MBP|
3471Y|TSM3471Y|IVG2960|Thermo Fisher Scientific Pte Ltd.|68.00|15.00|112||PK|Screw Cap with O-ring Yellow||RSD-Liquid Handing|RSD Prefix - TSM|
347627|NNC347627|IVG2960|Thermo Fisher Scientific Pte Ltd.|362.00|0.00|99|CORE|PK|CRYOTUBE 1.8ML EXT##THREAD W/O PRN SI||Core LPE|RSD Prefix - NNC|
347643|NNC347643|IVG2960|Thermo Fisher Scientific Pte Ltd.|1100.00|0.00|99||CS|CRYOTUBE 4.5ML EXT##THREAD W/O PRN SI||Core LPE|RSD Prefix - NNC|
3487|MBP3487|IVG2960|Thermo Fisher Scientific Pte Ltd.|371.00|0.00|119||CS|1.2ML MICROTITER TUBE||RSD-Liquid Handing|RSD Prefix - MBP|
3488|3488|IVG2960|Thermo Fisher Scientific Pte Ltd.|106.00|0.00|42||PK|2.0ml Free standing MCT with Screw Cap||RSD-Liquid Handing|RSD Prefix - MBP|
3490ANK|MBP3490ANK|IVG2960|Thermo Fisher Scientific Pte Ltd.|77.00|0.00|119|CORE|BAG|2mlScrwCapTube,NoKnrl,Skrt,Ambr,NSnocap||RSD-Liquid Handing|RSD Prefix - MBP|
3490NK|MBP3490NK|IVG2960|Thermo Fisher Scientific Pte Ltd.|79.00|0.00|119|CORE|BAG|2mlScrwCapTube,NoKnrl,Skrt,Nat,NS nocap||RSD-Liquid Handing|RSD Prefix - MBP|
3490NKS|MBP3490NKS|IVG2960|Thermo Fisher Scientific Pte Ltd.|89.00|25000000.00|119|CORE|BAG|2mlScrwCapTube,NoKnrl,Skrt,Nat,ST nocap||RSD-Liquid Handing|RSD Prefix - MBP|
3492|MBP3492|IVG2960|Thermo Fisher Scientific Pte Ltd.|46.00|7000000.00|119|CORE|PK|HLT 3492 1.2ML MICRO TITERTUBE||RSD-Liquid Handing|RSD Prefix - MBP|
3502-05-HR|MBP3502-05-HR|IVG2960|Thermo Fisher Scientific Pte Ltd.|89.00|400.00|119|CORE|PK|ART NF 10 LR RK||RSD-Liquid Handing|RSD Prefix - MBP|
3510-05|MBP3510-05-PK|IVG2960|Thermo Fisher Scientific Pte Ltd.|57.00|10.00|119|CORE|PK|HLT 10 Reach LR Bulk||RSD-Liquid Handing|RSD Prefix - MBP|
351934|NNC351934|IVG2960|Thermo Fisher Scientific Pte Ltd.|299.00|1000000.00|99|CORE|PK|1.8ML CRYOTUBE, INTERNAL THD.||Core LPE|RSD Prefix - NNC|
3522-3|LAB3522-3|IVG2960|Thermo Fisher Scientific Pte Ltd.|396.00|0.00|56|CORE|EA|ADAPTER RODS (SET 4)||RSD-BSC CO2|RSD Prefix - LAB|
3523-46|LAB3523-46|IVG2960|Thermo Fisher Scientific Pte Ltd.|1174.00|0.00|56|CORE|EA|UTILITY TRAY PLATFORM||RSD-BSC CO2|RSD Prefix - LAB|
3523-49|LAB3523-49|IVG2960|Thermo Fisher Scientific Pte Ltd.|2705.00|0.00|56|CORE|EA|ADJ FLASK PLTFM||RSD-BSC CO2|RSD Prefix - LAB|
354755|NNC354755|IVG2960|Thermo Fisher Scientific Pte Ltd.|33.00|0.00|99|CORE|PK|CRYOCOLORCODE##WHITE NEW DESIGN||Core LPE|RSD Prefix - NNC|
354879|NNC354879|IVG2960|Thermo Fisher Scientific Pte Ltd.|34.00|0.13|99|CORE|PK|CRYOCOLORCODE BLUE##NEW DESIGN||Core LPE|RSD Prefix - NNC|
354968|NNC354968|IVG2960|Thermo Fisher Scientific Pte Ltd.|36.00|0.13|99|CORE|PK|CRYOCOLORCODE RED##NEW DESIGN||Core LPE|RSD Prefix - NNC|
355018|NNC355018|IVG2960|Thermo Fisher Scientific Pte Ltd.|34.00|0.00|99|CORE|PK|CRYOCOLORCODE##GREEN NEW DESIGN||Core LPE|RSD Prefix - NNC|
355077|NNC355077|IVG2960|Thermo Fisher Scientific Pte Ltd.|35.00|0.00|99|CORE|PK|CRYOCOLORCODE##YELLOW NEW DESIGN||Core LPE|RSD Prefix - NNC|
3551-05|MBP3551-05|||0.00|108.00|119|CORE||HLT200 MicroPoint LR sterilized||RSD-Liquid Handing|RSD Prefix - MBP|
3551-05-HR|MBP3551-05-HR|IVG2960|Thermo Fisher Scientific Pte Ltd.|108.00|100.00|119||PK|ART NF 200 LR HR RKS||RSD-Liquid Handing|RSD Prefix - MBP|
355158|NNC355158|IVG2960|Thermo Fisher Scientific Pte Ltd.|35.00|0.13|99|CORE|PK|CRYOCOLORCODE##ORANGE NEW DESIGN||Core LPE|RSD Prefix - NNC|
3552-05-RT|MBP3552-05-RT|IVG2960|Thermo Fisher Scientific Pte Ltd.|408.00|0.00|119||CS|ART NF 200 LR RT||RSD-Liquid Handing|RSD Prefix - MBP|
355501|NNU355501|IVG2960|Thermo Fisher Scientific Pte Ltd.|268.00|0.00|118||CS|CRYOTUBE COOLER##LABTOP||Core LPE|RSD Prefix - NNU|
3560A|TSS3560A|IVG2960|Thermo Fisher Scientific Pte Ltd.|669.00|1.00|56|CORE|EA|PG-I,2IN300#,TEMP CN TRLLR,AIR||RSD-Microgenics Corporati|RSD Prefix - LAB|
3591|MBP3591|IVG2960|Thermo Fisher Scientific Pte Ltd.|105.00|5824.00|119|CORE|PK|HLT 1000G GENOMIC RK ST||RSD-Liquid Handing|RSD Prefix - MBP|
3599-63|LAB3599-63|IVG2960|Thermo Fisher Scientific Pte Ltd.|9363.00|0.00|56|CORE|EA|30 X 18 ADJ VESSEL PLATFORM||RSD-BSC CO2|RSD Prefix - LAB|
3606-1CE|LAB3606-1CE|IVG2960|Thermo Fisher Scientific Pte Ltd.|9499.00|0.00|56|CORE|EA|OVN VAC .44 CU FT 240-50/60||RSD-Ancillary|RSD Prefix - LAB|
3608-1CE|LAB3608-1CE|IVG2960|Thermo Fisher Scientific Pte Ltd.|7972.00|0.00|56|CORE|EA|OVN VAC .7 CU FT 240-50/60||RSD-Ancillary|RSD Prefix - LAB|
3608-6CE|LAB3608-6CE|IVG2960|Thermo Fisher Scientific Pte Ltd.|12811.00|0.00|56|CORE|EA|OVN VAC .7 CU FT 240-50/60 LED||RSD-Ancillary|RSD Prefix - LAB|
3618-1CE|LAB3618-1CE|IVG2960|Thermo Fisher Scientific Pte Ltd.|14224.00|0.00|56|CORE|EA|OVN VAC 2.3 CU FT 240-50/60|S4|RSD-Ancillary|RSD Prefix - LAB|
3618-6CE|LAB3618-6CE|IVG2960|Thermo Fisher Scientific Pte Ltd.|17437.00|0.00|56|CORE|EA|OVN VAC 2.3 CUFT 240-50/60 LED||RSD-Ancillary|RSD Prefix - LAB|
3621|MBP3621-PK|IVG2960|Thermo Fisher Scientific Pte Ltd.|77.00|0.19|119|CORE|PK|HTL ROUND GEL 200||RSD-Liquid Handing|RSD Prefix - MBP|
362150-1200|NLG362150-1200|IVG2960|Thermo Fisher Scientific Pte Ltd.|676.00|0.00|144|CORE|CS|20-415 Closure - White PP||Core LPE|RSD Prefix - NLG|
362150-7200|NLG362150-7200|IVG2960|Thermo Fisher Scientific Pte Ltd.|676.00|3.00|144|CORE|CS|20-415 Closure - Amber PP||Core LPE|RSD Prefix - NLG|
3625A-1|LAB3625A-1|IVG2960|Thermo Fisher Scientific Pte Ltd.|18152.00|0.00|56|CORE|EA|HI-TEMP VACUUM 240v||RSD-Ancillary|RSD Prefix - LAB|
362821-0110|NLG362821-0110|IVG2960|Thermo Fisher Scientific Pte Ltd.|162.00|0.00|144|CORE|CS|Closure Natural Closure Packaging Vial||Core LPE|RSD Prefix - NLG|
362830-0113|NLG362830-0113|IVG2960|Thermo Fisher Scientific Pte Ltd.|395.00|0.00|144|CORE|CS|Orange Color Coder Closure, Packaging Vi||Core LPE|RSD Prefix - NLG|
3628A-1|LAB3628A-1|IVG2960|Thermo Fisher Scientific Pte Ltd.|18533.00|0.00|56|CORE|EA|HIGH TEMP VAC OVEN 1.5CF 240V||RSD-Ancillary|RSD Prefix - LAB|
363401|NNC363401-PK|IVG2960|Thermo Fisher Scientific Pte Ltd.|43.00|500000.00|99|CORE|PK|CRYOTUBE 18ML SI##INT ROUND||Core LPE|RSD Prefix - NNC|
